year,district,constituency,link
1952,HOWRAH,SHYAMPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOWRAH/SHYAMPUR/1952---SHYAMPUR%20-(786).pdf
1952,HOWRAH,ULUBERIA,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOWRAH/ULUBERIA/1952---ULUBERIA-(1487)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/HOWRAH/ULUBERIA/1952---ULUBERIA-(1487)-PART-2.pdf"
1952,MIDNAPORE,BHAGWANPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MIDNAPORE/BHAGWANPUR/1952---BHAGWANPUR-(1193).pdf
1952,MIDNAPORE,CONTAI NORTH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MIDNAPORE/CONTAI%20NORTH/1952---CONTAI%20NORTH-(1150).pdf
1952,MIDNAPORE,CONTAI SOUTH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MIDNAPORE/CONTAI%20SOUTH/1952---CONTAI%20SOUTH-(1367).pdf
1952,MIDNAPORE,DASPORE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MIDNAPORE/DASPORE/1952---DASPORE-(932).pdf
1952,MIDNAPORE,GHATAL VOL THREE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MIDNAPORE/GHATAL%20VOL%20THREE/1952---GHATAL%20VOL-3-(1034).pdf
1952,MIDNAPORE,GHATAL VOL TWO,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MIDNAPORE/GHATAL%20VOL%20TWO/1952---GHATAL%20VOL-2-(1200).pdf
1952,MIDNAPORE,KHEJURI,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MIDNAPORE/KHEJURI/1952---KHEJURI-(%202229)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MIDNAPORE/KHEJURI/1952---KHEJURI-(%202229)-PART-2.pdf"
1952,MIDNAPORE,MAHISHADAL,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MIDNAPORE/MAHISHADAL/1952---MAHISHADAL-(892).pdf
1952,MIDNAPORE,MAYNA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MIDNAPORE/MAYNA/1952---MAYNA-(947).pdf
1952,MIDNAPORE,NANDIGRAM NORTH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MIDNAPORE/NANDIGRAM%20NORTH/1952---NANDIGRAM%20NORTH-(1191).pdf
1952,MIDNAPORE,NANDIGRAM SOUTH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MIDNAPORE/NANDIGRAM%20SOUTH/1952---NANDIGRAM%20SOUTH-(897).pdf
1952,MIDNAPORE,PASHKURA SOUTH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MIDNAPORE/PASHKURA%20SOUTH/1952---PASHKURA%20SOUTH-(1085).pdf
1952,MIDNAPORE,PATASHPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MIDNAPORE/PATASHPUR/1952---PATASHPUR-(1482).pdf
1952,MIDNAPORE,RAMNAGAR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MIDNAPORE/RAMNAGAR/1952---RAMNAGAR-(1321).pdf
1952,MIDNAPORE,SUTAHATA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MIDNAPORE/SUTAHATA/1952---SUTAHATA-(1034).pdf
1952,MIDNAPORE,TAMLUK,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MIDNAPORE/TAMLUK/1952---TAMLUK-(1041).pdf
1952,MURSIDABAD,BELDANGA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MURSIDABAD/BELDANGA/1952---BELDANGA-(811).pdf
1952,MURSIDABAD,BERHAMPORE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MURSIDABAD/BERHAMPORE/1952---BERHAMPORE-(772).pdf
1952,MURSIDABAD,BHARATPUR ONE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MURSIDABAD/BHARATPUR%20ONE/1952---BHARATPUR%201-(790).pdf
1952,MURSIDABAD,BHARATPUR TWO,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MURSIDABAD/BHARATPUR%20TWO/1952---BHARATPUR-2-(1022).pdf
1952,MURSIDABAD,FARAKKA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MURSIDABAD/FARAKKA/1952---FARAKKA-(1002).pdf
1952,MURSIDABAD,HARIHARPARA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MURSIDABAD/HARIHARPARA/1952---HARIHARPARA(MUSHIDABAD)-(796).pdf
1952,MURSIDABAD,JALLANGI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MURSIDABAD/JALLANGI/1952---JALLANGI-(756).pdf
1952,MURSIDABAD,KANDI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MURSIDABAD/KANDI/1952---KANDI-(943).pdf
1952,MURSIDABAD,LALGOLA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MURSIDABAD/LALGOLA/1952---LALGOLA(MUSHIDABAD)-(950).pdf
1952,MURSIDABAD,MURSIDABAD,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MURSIDABAD/MURSIDABAD/1952---MURSIDABAD-(1121).pdf
1952,MURSIDABAD,NOWADA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MURSIDABAD/NOWADA/1952---NOWADA-(760).pdf
1952,MURSIDABAD,RANINAGAR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MURSIDABAD/RANINAGAR/1952---RANINAGAR-(829).pdf
1952,MURSIDABAD,SAGARDIGHI,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MURSIDABAD/SAGARDIGHI/1952---SAGARDIGHI-(2220)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MURSIDABAD/SAGARDIGHI/1952---SAGARDIGHI-(2220)-PART-2.pdf"
1952,MURSIDABAD,SUTI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/MURSIDABAD/SUTI/1952---SUTI-(1018).pdf
1952,NADIA,CHAPRA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/NADIA/CHAPRA/1952---CHAPRA-(940).pdf
1952,NADIA,KALIGANJ,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/NADIA/KALIGANJ/1952---KALIGANJ-(935).pdf
1952,NADIA,KARIMPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/NADIA/KARIMPUR/1952---KARIMPUR-(878).pdf
1952,NADIA,KRISHNAGAR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/NADIA/KRISHNAGAR/1952---KRISHNAGAR-(820).pdf
1952,NADIA,NABADWIP,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/NADIA/NABADWIP/1952---NABADWIP-(721).pdf
1952,NADIA,NAKASIPARA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/NADIA/NAKASIPARA/1952---NAKASIPARA-(942).pdf
